input_row_key,selected_veridion_id,company_name,website_domain,revenue,employee_count,main_sector,qc_flags
21,2d7be421-93e5-11eb-be5a-4f810ab55f2e,Aeger,,,,Construction,missing website; missing or 0 revenue; missing or 0 employees; no contact info; missing geolocation
21,2d7be421-93e5-11eb-be5a-4f810ab55f2e,Aeger Creative,aeger.net,185293.0,1.0,Advertising & Marketing,missing geolocation
22,ef392bbd-93e4-11eb-919a-b3f9a5ad205c,Affirmed Armor,affirmedarmor.com,175243.0,1.0,"Apparel, Accessories & Footwear",missing geolocation
22,ef392bbd-93e4-11eb-919a-b3f9a5ad205c,Affirmed Missions Inc.,affirmedmissionsinc.org,47416.0,1.0,Health Care & Social Assistance,missing geolocation
26,eab4a797-e56c-11ed-86c6-9fd2c95fb352,Rødovre Centrum,roedovrecentrum.dk,10804487.0,75.0,Other Durable Products,missing geolocation
26,eab4a797-e56c-11ed-86c6-9fd2c95fb352,Aktieselskabet Rødovre Centrum,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info
26,eab4a797-e56c-11ed-86c6-9fd2c95fb352,Aktieselskabet Tlk Of 1971,,,,Real Estate,missing website; missing or 0 revenue; missing or 0 employees
26,eab4a797-e56c-11ed-86c6-9fd2c95fb352,Aktieselskabet Jysk Entreprise bridalstore,,,,Home Products,missing website; missing or 0 revenue; missing or 0 employees; no contact info
26,eab4a797-e56c-11ed-86c6-9fd2c95fb352,HAUX,haux.com,,,Food & Beverages,missing or 0 revenue; missing or 0 employees
30,4706bd71-93e5-11eb-aa66-9b8d95e2171b,Amazon Web Services EMEA,logitech-events.com,,,Education,missing or 0 revenue; missing or 0 employees; missing geolocation
35,e97d1f55-93e4-11eb-be3a-7f925cb94351,Analysys Mason,analysys.com,,,Other Professional Services,missing or 0 revenue; missing or 0 employees; missing geolocation
35,e97d1f55-93e4-11eb-be3a-7f925cb94351,Analysys Technology,analysys.tech,39072.0,2.0,IT&C Services,no contact info
37,e85e9664-1cfd-11ed-acc3-eb8431ff4930,ANDCO A/S.,projetoeuropaclubeuropeu.blogspot.com,,,Non Profit,missing or 0 revenue; missing or 0 employees; no contact info; missing geolocation
37,e85e9664-1cfd-11ed-acc3-eb8431ff4930,AndCo,andco.com.au,,,Architecture & Engineering Services,missing or 0 revenue; missing or 0 employees; no contact info; missing geolocation
42,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,Aon Norway,,,82.0,,missing website; missing or 0 revenue; missing sector; no contact info
42,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,AON THAI CUISINE & TAKEAWAY,,,,Accommodation & Food Services,missing website; missing or 0 revenue; missing or 0 employees
42,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,Aon Assessment Norge,,8092206.0,58.0,Other Professional Services,missing website; no contact info
44,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Naturliga Bloggen,naturligabloggen.blogspot.com,,15.0,Blogs & Publications,missing or 0 revenue; missing geolocation
44,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Apple Distribution International Limited,ouspacesellers.store,,,,missing or 0 revenue; missing or 0 employees; missing sector
44,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Apple green TRUCK AIR FOR WHEELS,,,,Transport & Warehousing,missing website; missing or 0 revenue; missing or 0 employees; no contact info; missing geolocation
44,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Apple Distribution International,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; missing geolocation
44,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Android CentralAndroid,centralandroidinfo.netlify.app,,,IT&C Services,missing or 0 revenue; missing or 0 employees
45,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Android CentralAndroid,centralandroidinfo.netlify.app,,,IT&C Services,missing or 0 revenue; missing or 0 employees
45,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Apple green TRUCK AIR FOR WHEELS,,,,Transport & Warehousing,missing website; missing or 0 revenue; missing or 0 employees; no contact info; missing geolocation
45,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Naturliga Bloggen,naturligabloggen.blogspot.com,,15.0,Blogs & Publications,missing or 0 revenue; missing geolocation
45,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Apple Distribution International Limited,ouspacesellers.store,,,,missing or 0 revenue; missing or 0 employees; missing sector
45,5fb4de97-d93b-11ef-a05e-eff07b682a6a,Apple Distribution International,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; missing geolocation
46,50c0e708-22bf-11ec-9024-ef7bc13965aa,Apple Malaysia Sdn Bhd.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; missing geolocation
46,50c0e708-22bf-11ec-9024-ef7bc13965aa,APPLE MM2H SDN. BHD.,applemm2h.com,516473.0,15.0,Other Professional Services,missing geolocation
46,50c0e708-22bf-11ec-9024-ef7bc13965aa,Apple Maids,applemaids.net.my,1175261.0,75.0,Other Professional Services,missing geolocation
54,933da790-93e4-11eb-b5f6-816dd10ac7b0,Atea Kristiansund,,,,Health Care & Social Assistance,missing website; missing or 0 revenue; missing or 0 employees
54,933da790-93e4-11eb-b5f6-816dd10ac7b0,Atea Finance AS,,,26.0,,missing website; missing or 0 revenue; missing sector; no contact info
54,933da790-93e4-11eb-b5f6-816dd10ac7b0,Atea,bajaz.no,,,"Arts, Entertainment & Recreation",missing or 0 revenue; missing or 0 employees
55,f0c60d30-93e4-11eb-91fb-73d498260b10,Atea Finance AB.,,4316539.0,27.0,Other Professional Services,missing website; no contact info; missing geolocation
55,f0c60d30-93e4-11eb-91fb-73d498260b10,Faxe365,faxe365.com,,1.0,Blogs & Publications,missing or 0 revenue; missing geolocation
61,90786d2c-93e4-11eb-a33a-a3dfba582839,AWAN DISTRIBUTION,awandistribution.com,128811808.0,75.0,Electronics & Appliances,missing geolocation
61,90786d2c-93e4-11eb-a33a-a3dfba582839,ISDF,isdfuae.com,24793384.0,75.0,Electronics & Appliances,missing geolocation
61,90786d2c-93e4-11eb-a33a-a3dfba582839,Dar Molhimon,darmolhimon.com,5061139.0,23.0,Publishers & Media Companies,missing geolocation
61,90786d2c-93e4-11eb-a33a-a3dfba582839,Awan Building Contg LLC.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; missing geolocation
65,9c00c37e-6d04-11ee-b24b-eb147ec3ebc2,Basico,basico.media,,,,missing or 0 revenue; missing or 0 employees; missing sector; no contact info; missing geolocation
65,9c00c37e-6d04-11ee-b24b-eb147ec3ebc2,Basico P/S.,,,,Other Professional Services,missing website; missing or 0 revenue; missing or 0 employees; no contact info
65,9c00c37e-6d04-11ee-b24b-eb147ec3ebc2,Basico Agencia de Eventos,basico-agencia-de-eventos.negocio.site,,,"Arts, Entertainment & Recreation",missing or 0 revenue; missing or 0 employees
71,d88f72e3-5c67-11ed-baea-7be3329391e4,Beijing High-tech Dynamic Power Co. Ltd.,htdp.com.cn,,,Electronics & Appliances,missing or 0 revenue; missing or 0 employees; missing geolocation
71,d88f72e3-5c67-11ed-baea-7be3329391e4,Power Co. Ltd.,hnbfpower.com,19537660.0,210.0,Electronics & Appliances,missing geolocation
71,d88f72e3-5c67-11ed-baea-7be3329391e4,Beijing Electric Power Hospital-Emergency Treatment,,,,Health Care & Social Assistance,missing website; missing or 0 revenue; missing or 0 employees; no contact info; missing geolocation
71,d88f72e3-5c67-11ed-baea-7be3329391e4,Beijing Dynamic Power Co. Ltd.,xaqylm.com,,,,missing or 0 revenue; missing or 0 employees; missing sector; missing geolocation
74,0cb674d5-93e5-11eb-aa66-9b8d95e2171b,Blackwood Academy,blackwood-academy.com,,,Other Professional Services,missing or 0 revenue; missing or 0 employees; missing geolocation
74,0cb674d5-93e5-11eb-aa66-9b8d95e2171b,Blackwood Seven Germany GmbH,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info
74,0cb674d5-93e5-11eb-aa66-9b8d95e2171b,Blackwood Forge v Rasmus Frie,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
75,1f377b2b-0c41-11ec-b09d-95ba7b1bb140,Blom Peter,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
75,1f377b2b-0c41-11ec-b09d-95ba7b1bb140,Søren Ikast Pedersen - Erhvervspsykologisk Rådgivning ApS.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
75,1f377b2b-0c41-11ec-b09d-95ba7b1bb140,Erhvervspsykologisk Rådgivning ApS.,annejacobsen.dk,,,IT&C Services,missing or 0 revenue; missing or 0 employees
75,1f377b2b-0c41-11ec-b09d-95ba7b1bb140,Psykologisk Rådgivning cand. psych. Manfred Franke,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
77,a80097e2-aeff-11ef-a550-45d601d5781f,Bording Central,bordingcentral.dk,,,Advertising & Marketing,missing or 0 revenue; missing or 0 employees
77,a80097e2-aeff-11ef-a550-45d601d5781f,Bording Instore Danmark A/S.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
78,e06dbd72-5b1d-11ef-8bf4-3129dd2a123f,Braathens Regional AB.,,,21.0,Other Capital Goods,missing website; missing or 0 revenue; no contact info; missing geolocation
78,e06dbd72-5b1d-11ef-8bf4-3129dd2a123f,Braathens,braathens.com,,,Transport & Warehousing,missing or 0 revenue; missing or 0 employees; missing geolocation
78,e06dbd72-5b1d-11ef-8bf4-3129dd2a123f,BRA,flygbra.se,108016704.0,400.0,Transport & Warehousing,missing geolocation
78,e06dbd72-5b1d-11ef-8bf4-3129dd2a123f,BRAATHENS REGIONAL AIRWAYS AB.,,,4.0,,missing website; missing or 0 revenue; missing sector; no contact info; missing geolocation
86,57918a20-a8bb-11ed-9a6b-af642bb25f66,StayOnline,stayonline.dk,,,Other Professional Services,missing or 0 revenue; missing or 0 employees
86,57918a20-a8bb-11ed-9a6b-af642bb25f66,CBRE Denmark,cbre.dk,46927532032.0,135000.0,Real Estate,implausibly high employee count
90,26c39d80-93e5-11eb-be5a-4f810ab55f2e,China Motion Telecom International Ltd.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; missing geolocation
90,26c39d80-93e5-11eb-be5a-4f810ab55f2e,China Dragon Telecom,chinadragontel.com,13205933.0,75.0,IT&C Services,missing geolocation
90,26c39d80-93e5-11eb-be5a-4f810ab55f2e,MultiTech,multi-tech.com.hk,41029016.0,150.0,IT&C Services,missing geolocation
90,26c39d80-93e5-11eb-be5a-4f810ab55f2e,CHINA GLOBAL LINK LOGISTIC CO. LIMITED,gll-ch.com,,,Transport & Warehousing,missing or 0 revenue; missing or 0 employees
90,26c39d80-93e5-11eb-be5a-4f810ab55f2e,China Telecom Global,chinatelecomglobal.com,2400000.0,287076.0,IT&C Services,implausibly high employee count
95,4e8bfa9e-1afc-11ec-ba40-29b1c5bdeb83,Cisco International Limited,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
95,4e8bfa9e-1afc-11ec-ba40-29b1c5bdeb83,Cisco Systems London,cisco.co.uk,,,IT&C Services,missing or 0 revenue; missing or 0 employees
95,4e8bfa9e-1afc-11ec-ba40-29b1c5bdeb83,Cisco Blue,ciscoblue.co.uk,7168688.0,15.0,Construction,no contact info; missing geolocation
95,4e8bfa9e-1afc-11ec-ba40-29b1c5bdeb83,Cisco repair services,cisco-repair.co.uk,,,Other Professional Services,missing or 0 revenue; missing or 0 employees
95,4e8bfa9e-1afc-11ec-ba40-29b1c5bdeb83,Cisco International,ciscointl.com,,,,missing or 0 revenue; missing or 0 employees; missing sector
101,eb823b24-1e9c-11ee-918e-3b99085851a3,Adorea Systems,adoreasystems.com,,,Other Professional Services,missing or 0 revenue; missing or 0 employees; missing geolocation
101,eb823b24-1e9c-11ee-918e-3b99085851a3,Seliyan Com. Engineering,,,,Health Care & Social Assistance,missing website; missing or 0 revenue; missing or 0 employees
101,eb823b24-1e9c-11ee-918e-3b99085851a3,COMENGINEERING SDN BHD.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
101,eb823b24-1e9c-11ee-918e-3b99085851a3,COM Engineering Ltd.,,,,Architecture & Engineering Services,missing website; missing or 0 revenue; missing or 0 employees; missing geolocation
102,8014aae6-1b04-11ec-a26e-73bd9076b4de,CommScope Solutions S Pte Ltd.,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees; no contact info
102,8014aae6-1b04-11ec-a26e-73bd9076b4de,CommScope,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
102,8014aae6-1b04-11ec-a26e-73bd9076b4de,CommScope APAC,commscopeapacmerchandise.com,18512304.0,75.0,Other Nondurable Products,missing geolocation
103,ff338e8e-b929-11ed-89f1-bd62b3e1c745,Commscope Technologies Ag,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info
103,ff338e8e-b929-11ed-89f1-bd62b3e1c745,CommScope,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info
103,ff338e8e-b929-11ed-89f1-bd62b3e1c745,CommScope Wireless Systems AG,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
103,ff338e8e-b929-11ed-89f1-bd62b3e1c745,CommScope,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
104,7e64da92-e11e-11ec-b909-77b33c15dd42,Commscope Technologies South Africa Pty Ltd.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info
104,7e64da92-e11e-11ec-b909-77b33c15dd42,CommScope,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
104,7e64da92-e11e-11ec-b909-77b33c15dd42,Commscope Technologies K Ltdtd,commscope-ea.com,569635.0,75.0,IT&C Services,missing geolocation
104,7e64da92-e11e-11ec-b909-77b33c15dd42,CommScope,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info
104,7e64da92-e11e-11ec-b909-77b33c15dd42,CommScope Technologies Philippines Inc.,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees; missing geolocation
106,33c93c45-a7e0-11ef-af89-216a077ca7fb,Conscia Danmark A/S.,laugesen.io,,,Transport & Warehousing,missing or 0 revenue; missing or 0 employees; missing geolocation
106,33c93c45-a7e0-11ef-af89-216a077ca7fb,Conscia Moments,conscia.dk,,,IT&C Services,missing or 0 revenue; missing or 0 employees
106,33c93c45-a7e0-11ef-af89-216a077ca7fb,SJEC,sjecdanmark.dk,,,Other Capital Goods,missing or 0 revenue; missing or 0 employees
106,33c93c45-a7e0-11ef-af89-216a077ca7fb,Conscia Holdco A/S.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info
108,e48e4e11-93e4-11eb-919a-b3f9a5ad205c,M&A Corporate Advisors,ma-advisors.no,2585577.0,4.0,Finance & Insurance,no contact info
108,e48e4e11-93e4-11eb-919a-b3f9a5ad205c,Corporate Cup Norway,corporatecup.no,,,"Arts, Entertainment & Recreation",missing or 0 revenue; missing or 0 employees; missing geolocation
110,d6c603ec-93e4-11eb-b997-8dd98d09cf25,Coursera,malojabrd.top,,,Education,missing or 0 revenue; missing or 0 employees
110,d6c603ec-93e4-11eb-b997-8dd98d09cf25,Coursera,cozycomfort.top,,,Education,missing or 0 revenue; missing or 0 employees
110,d6c603ec-93e4-11eb-b997-8dd98d09cf25,Coursera,kidlove.top,,,Education,missing or 0 revenue; missing or 0 employees
110,d6c603ec-93e4-11eb-b997-8dd98d09cf25,Coursera Inc.,translate-coursera.org,,,Legal,missing or 0 revenue; missing or 0 employees; no contact info
111,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Crayon A/S.,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
111,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Crayon Danmark Inactive,,,3.0,,missing website; missing or 0 revenue; missing sector; no contact info
111,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Crayon,crayonweb.azurewebsites.net,,,IT&C Services,missing or 0 revenue; missing or 0 employees
111,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Crayon Bogføring,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
111,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Crayon Cloud Day 2018,crayoncloudday.dk,,,,missing or 0 revenue; missing or 0 employees; missing sector; no contact info
119,a11480ae-2a2a-11ef-917e-edda38f44563,Daily Jurr'at,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info; missing geolocation
119,a11480ae-2a2a-11ef-917e-edda38f44563,Print Ustad,printustad.co.uk,,,Other Nondurable Products,missing or 0 revenue; missing or 0 employees; missing geolocation
119,a11480ae-2a2a-11ef-917e-edda38f44563,Sonu Car Wrap,sonucarwrap.com,23261.0,15.0,Other Consumer Services,missing geolocation
119,a11480ae-2a2a-11ef-917e-edda38f44563,Gorila Products,gorilaproducts.com,,,Other Nondurable Products,missing or 0 revenue; missing or 0 employees; missing geolocation
119,a11480ae-2a2a-11ef-917e-edda38f44563,Daily Dunya,dunya.com.pk,1000000.0,75.0,Publishers & Media Companies,missing geolocation
120,070edae0-93e5-11eb-b4a6-27899be4e45d,Dansk Overpumpning,danskoverpumpning.dk,,,Other Capital Goods,missing or 0 revenue; missing or 0 employees
120,070edae0-93e5-11eb-b4a6-27899be4e45d,Auto Logik,autologik.dk,,,Transport & Warehousing,missing or 0 revenue; missing or 0 employees
126,8647efa3-93e4-11eb-90d2-e3355a7e800b,Delfi Imaging Consult I/S.,,,,Health Care & Social Assistance,missing website; missing or 0 revenue; missing or 0 employees
126,8647efa3-93e4-11eb-90d2-e3355a7e800b,Delfi e.V.,delfi.de,,,Transport & Warehousing,missing or 0 revenue; missing or 0 employees
126,8647efa3-93e4-11eb-90d2-e3355a7e800b,Delfi Coaching v Ditte Hørmark,,,,Health Care & Social Assistance,missing website; missing or 0 revenue; missing or 0 employees
140,c2b35013-93e4-11eb-b997-8dd98d09cf25,U Mobile Shah Alam,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
140,c2b35013-93e4-11eb-b997-8dd98d09cf25,DIGI TELECOMMUNICATIONS SDN BHD Terengganu,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees; no contact info; missing geolocation
140,c2b35013-93e4-11eb-b997-8dd98d09cf25,DLA Technology,dlatech.com.my,,,IT&C Services,missing or 0 revenue; missing or 0 employees; missing geolocation
140,c2b35013-93e4-11eb-b997-8dd98d09cf25,Digi Sage,digisage.win,,,Publishers & Media Companies,missing or 0 revenue; missing or 0 employees; no contact info
143,08e683e0-1827-11ee-b0e3-d3f35f2a4259,DNA tester,dnatester.fi,11813433.0,75.0,Health Care & Social Assistance,missing geolocation
143,08e683e0-1827-11ee-b0e3-d3f35f2a4259,DNA Toimihenkilöt Pro ry,dnatoimihenkilot.fi,2358300.0,15.0,Non Profit,missing geolocation
143,08e683e0-1827-11ee-b0e3-d3f35f2a4259,DNA Oy.,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
143,08e683e0-1827-11ee-b0e3-d3f35f2a4259,DNA Ltd.,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
148,d3ccacb0-a3ce-11ed-b93a-8509659c73d1,DXC Technology Norge AS,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
148,d3ccacb0-a3ce-11ed-b93a-8509659c73d1,DXC ServiceNow Practice Norway,,11000000.0,25.0,IT&C Services,missing website
148,d3ccacb0-a3ce-11ed-b93a-8509659c73d1,DXC,dxcfds.com,419372544.0,1100.0,IT&C Services,missing geolocation
149,f19d20b5-250a-11ec-b70f-ed0ff919fa1a,DXC Technology Sverige AB.,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
149,f19d20b5-250a-11ec-b70f-ed0ff919fa1a,DXC,dxcfds.com,419372544.0,1100.0,IT&C Services,missing geolocation
149,f19d20b5-250a-11ec-b70f-ed0ff919fa1a,DXC Consulting,dxcconsulting.se,,,Other Professional Services,missing or 0 revenue; missing or 0 employees; missing geolocation
150,6fef3cc3-499f-11ee-955d-cffc14e1ac7f,Munchworld Marketing Sdn. Bhd. Johor,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector
150,6fef3cc3-499f-11ee-955d-cffc14e1ac7f,Dynamic Telecommunication,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info; missing geolocation
150,6fef3cc3-499f-11ee-955d-cffc14e1ac7f,Dynamic Tele Communication,,,,,missing website; missing or 0 revenue; missing or 0 employees; missing sector; no contact info; missing geolocation
150,6fef3cc3-499f-11ee-955d-cffc14e1ac7f,Dynamic Telecommunication,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees
152,203f5ad6-b918-11ed-bc6c-cde58c4dffa0,Eastcompeace,eastcompeace.com,218800000.0,200.0,Finance & Insurance,no contact info; missing geolocation
152,203f5ad6-b918-11ed-bc6c-cde58c4dffa0,Easy Card,easycard.com.bd,,,,missing or 0 revenue; missing or 0 employees; missing sector; missing geolocation
152,203f5ad6-b918-11ed-bc6c-cde58c4dffa0,Eastcompeace,worldclasslighting.com,,,Electronics & Appliances,missing or 0 revenue; missing or 0 employees; missing geolocation
152,203f5ad6-b918-11ed-bc6c-cde58c4dffa0,Baby Care,babycare.com.bd,382575.0,75.0,"Apparel, Accessories & Footwear",missing geolocation
152,203f5ad6-b918-11ed-bc6c-cde58c4dffa0,Eastcompeace Smart Card Bangladesh Limited.,,,,IT&C Services,missing website; missing or 0 revenue; missing or 0 employees; missing geolocation
155,2b50edd1-93e5-11eb-a746-fdabd18be9c6,Management Doctors,managementdoctors.se,366808.0,2.0,Other Professional Services,missing geolocation
155,2b50edd1-93e5-11eb-a746-fdabd18be9c6,Office Management,avoki.com,14000000.0,,IT&C Services,missing or 0 employees
156,2b50edd1-93e5-11eb-a746-fdabd18be9c6,Office Management,avoki.com,14000000.0,,IT&C Services,missing or 0 employees
156,2b50edd1-93e5-11eb-a746-fdabd18be9c6,Management Doctors,managementdoctors.se,366808.0,2.0,Other Professional Services,missing geolocation
163,c3be3d54-b6b6-11ef-b840-cd317407a6a9,eGeneration Limited,coronavirus.pages.dev,,,Other Professional Services,missing or 0 revenue; missing or 0 employees; no contact info; missing geolocation
163,c3be3d54-b6b6-11ef-b840-cd317407a6a9,E-Generation,entrepreneurgeneration.com,,13.0,Education,missing or 0 revenue; missing geolocation
163,c3be3d54-b6b6-11ef-b840-cd317407a6a9,WebQ1,webq1.com.au,,,Advertising & Marketing,missing or 0 revenue; missing or 0 employees; missing geolocation
163,c3be3d54-b6b6-11ef-b840-cd317407a6a9,Egeneration,egeneration.com.bd,,,"Arts, Entertainment & Recreation",missing or 0 revenue; missing or 0 employees; missing geolocation
169,cca5a50b-a725-11ef-992e-0bf06164345a,Enreach Campaigns,enreachcampaigns.com,,,Advertising & Marketing,missing or 0 revenue; missing or 0 employees; no contact info
